N,EstimatedArea,RelativeError
88600,2.006139955,0.2103119999
89100,2.002154882,0.4085380311
89600,1.999241071,0.5534772028
90100,2.020554939,0.5067201108
90600,2.007505519,0.1423859331
91100,2.015060373,0.2334086703
91600,2.015982533,0.279278856
92100,2.020542888,0.5061206787
92600,2.007300216,0.1525981321
93100,2.014522019,0.2066297978
93600,2.006282051,0.2032438199
94100,2.020913921,0.5245766626
94600,2.016997886,0.3297846879
95100,2.010010515,0.01778205547
95600,2.004435146,0.295112813
96100,2.025764828,0.7658711392
96600,2.018923395,0.4255636503
97100,2.012070031,0.0846626536
97600,2.009467213,0.04480706444
98100,2.01158002,0.06028848387
98600,2.016876268,0.3237351444
99100,2.018244198,0.3917789071
99600,2.009236948,0.05626095366
